rank,channel_info,influence_score,posts,followers,60_day_eng_rate,total_likes,avg_likes,new_post_avg_like,country
129,luissuarez9,85,970,44200000,0.0096,782500000,801800,414800,Other
130,gusttavolima,76,4900,43900000,0.0071,2300000000,475100,303900,Brazil
131,jannatzubair29,84,1600,43800000,0.0218,2200000000,1300000,944300,Other
132,varundvn,84,1900,43800000,0.0148,2000000000,1100000,640500,India
133,hrithikroshan,85,580,43700000,0.0382,949900000,1600000,1600000,C̫te d'Ivoire
134,nickyjampr,81,10000,43400000,0.0033,3800000000,381600,139300,Colombia
135,buzzfeedtasty,85,8900,43200000,0.0002,580700000,65100,7700,Spain
136,brunamarquezine,84,3000,43100000,0.0105,2900000000,969700,444200,United States
137,caradelevingne,86,4400,42900000,0.0043,3500000000,790200,181000,United States
138,kapilsharma,83,950,42200000,0.0149,710700000,736400,624500,Other
139,badbunnypr,83,10,42100000,0.1309,67500000,3700000,5400000,Other
140,britneyspears,80,3000,42100000,0.0055,1600000000,513100,221700,Turkey
141,j.m,83,20,41900000,0.2641,368100000,14200000,11000000,Other
142,mariliamendoncacantora,73,1400,41800000,0.0198,1500000000,1000000,818600,Brazil
143,norafatehi,83,1700,41600000,0.0176,2300000000,1400000,727500,Anguilla
144,theweeknd,83,670,41500000,0.0397,767000000,1100000,1600000,Other
145,dior,85,9700,41500000,0.0016,863000000,88800,63600,Other
146,ranveersingh,85,1800,40800000,0.0076,1800000000,1000000,299300,Switzerland
147,marinaruybarbosa,81,2100,40700000,0.0001,1200000000,586400,0,Brazil
148,jenniferaniston,85,90,40700000,0.0188,452000000,4600000,731000,Other
149,addisonraee,85,300,40100000,0.0249,957900000,3100000,994400,Other
150,andresiniesta8,85,2000,40000000,0.0041,500500000,250800,161700,Spain
151,princessyahrini,81,4500,40000000,0.0022,529900000,118300,87400,Indonesia
152,liverpoolfc,75,10000,39900000,0.0042,3500000000,346700,162900,United Kingdom
153,teddysphotos,80,2300,39900000,0.0046,1700000000,715500,181100,United States
154,worldstar,78,11600,39200000,0.0023,1800000000,157400,84400,United States
155,natashawilona12,84,1200,39200000,0.0059,563900000,486500,227700,Other
156,mahi7781,58,100,39100000,0.0017,439400000,4100000,0,Other
157,georginagio,74,730,39100000,0.0856,1600000000,2200000,3300000,Other
158,cznburak,80,1800,39000000,0.0101,1400000000,815800,383300,Other
159,chrissyteigen,79,5100,38900000,0.0043,3200000000,623100,162100,United States
160,ruben_onsu,75,13400,38800000,0.0013,1900000000,139300,49100,Indonesia
161,wizkhalifa,80,500,38700000,0.0031,199800000,398700,115700,United States
162,hm,83,7300,38500000,0.0006,644100000,88400,22400,Sweden
163,anushkasen0408,85,5300,38300000,0.0175,3700000000,695400,658300,Other
164,prattprattpratt,84,730,38300000,0.01,594700000,813500,363800,Other
165,marvelstudios,83,2700,38100000,0.0158,1600000000,594200,555900,Other
166,wesleysafadao,80,8900,37400000,0.0002,2300000000,256100,0,Other
167,parineetichopra,84,1300,37400000,0.0068,672100000,505700,246900,Other
168,rkive,83,110,37000000,,1200000000,10900000,0,Other
169,laudyacynthiabella,76,380,36900000,0.0012,66700000,172800,43400,Indonesia
170,antogriezmann,83,870,36500000,0.0057,955400000,1100000,203600,France
171,gisel_la,85,9900,36500000,0.001,1500000000,150500,33400,Other
172,eminem,84,660,36400000,0.0269,730100000,1100000,962700,United States
173,mercedesbenz,77,10000,36000000,0.0018,2000000000,197900,64600,British Virgin Islands
174,colesprouse,81,1200,35900000,0.0234,2600000000,2200000,834500,Other
175,nattinatasha,47,30,35900000,0.008,18700000,518100,285900,Czech Republic
176,shahidkapoor,82,1100,35600000,0.0254,1500000000,1300000,780000,Other
177,tigerjackieshroff,83,2100,35600000,0.012,2200000000,1100000,422900,India
178,kimberly.loaiza,78,590,35500000,0.0523,1600000000,2600000,1800000,Mexico
179,barackobama,81,660,35400000,0.0119,739500000,1100000,411500,United States
180,sachintendulkar,76,1000,35300000,0.0203,810000000,800400,664500,Other
181,simonemendes,72,4400,35000000,0.0065,1900000000,420000,222900,Brazil
182,ivetesangalo,84,7600,34800000,0.0036,1700000000,226400,121100,Brazil
183,lunamaya,83,4100,34800000,0.0017,589600000,145400,58600,Other
184,toni.kr8s,83,940,34700000,0.0168,561300000,597200,533500,Other
185,dannapaola,68,1900,34700000,0.0349,2800000000,1500000,1200000,Mexico
186,paollaoliveirareal,84,4600,34700000,0.0057,1700000000,367800,192300,Other
187,blakelively,80,110,34600000,0.0002,350900000,3100000,0,United States
188,adidasoriginals,83,150,34200000,0.002,21200000,136200,66800,Other
189,disney,77,7300,34200000,0.0044,1400000000,185200,132000,United States
190,shaymitchell,83,6300,34100000,0.0073,4600000000,732400,247500,United States
191,bmw,79,9300,33700000,0.0023,2200000000,231300,76500,Germany
192,danbilzerian,84,1400,33600000,0.0358,2800000000,2000000,1200000,Canada
193,khabib_nurmagomedov,63,4500,33500000,0.0067,3100000000,685100,220700,Russia
194,zidane,41,370,33500000,0.0161,391900000,1100000,532700,France
195,sonamkapoor,75,4800,33300000,0.0063,1300000000,264700,209200,India
196,iambeckyg,71,2300,33200000,0.014,1400000000,623800,464700,United States
197,nancyajram,81,3800,33200000,0.0064,1500000000,390400,208000,France
198,luansantana,79,770,33200000,0.0026,149200000,193300,82600,Brazil
199,nickjonas,78,2300,33000000,0.0142,1700000000,719600,467700,United States
200,raisa6690,80,4200,32800000,0.003,969100000,232200,97400,Indonesia
